n,caso,k,p,analitico,simulado,erro_abs
1,k=1,1,0.5,0.5,0.50146,0.0014600000000000168
1,k=ceil(n/2),1,0.5,0.5,0.49722,0.0027800000000000047
1,k=n,1,0.5,0.5,0.5016,0.0016000000000000458
2,k=1,1,0.5,0.75,0.7471,0.0029000000000000137
2,k=ceil(n/2),1,0.5,0.75,0.7517,0.0017000000000000348
2,k=n,2,0.5,0.25,0.2491,0.0009000000000000119
3,k=1,1,0.5,0.875,0.87498,2.0000000000020002e-05
3,k=ceil(n/2),2,0.5,0.5,0.50032,0.00031999999999998696
3,k=n,3,0.5,0.125,0.12684,0.0018400000000000083
4,k=1,1,0.5,0.9375,0.93604,0.0014600000000000168
4,k=ceil(n/2),2,0.5,0.6875,0.6869,0.0006000000000000449
4,k=n,4,0.5,0.0625,0.0616,0.000899999999999998
5,k=1,1,0.5,0.96875,0.9684,0.00034999999999996145
5,k=ceil(n/2),3,0.5,0.5,0.50356,0.0035600000000000076
5,k=n,5,0.5,0.03125,0.03274,0.0014899999999999983
6,k=1,1,0.5,0.984375,0.98436,1.4999999999987246e-05
6,k=ceil(n/2),3,0.5,0.65625,0.65848,0.0022299999999999542
6,k=n,6,0.5,0.015625,0.01638,0.0007549999999999987
7,k=1,1,0.5,0.9921875,0.99174,0.0004475000000000451
7,k=ceil(n/2),4,0.5,0.5,0.5028,0.0028000000000000247
7,k=n,7,0.5,0.0078125,0.00824,0.0004275000000000008
8,k=1,1,0.5,0.99609375,0.99582,0.0002737499999999615
8,k=ceil(n/2),4,0.5,0.63671875,0.6371,0.00038124999999999964
8,k=n,8,0.5,0.00390625,0.00376,0.0001462500000000001
9,k=1,1,0.5,0.998046875,0.99828,0.00023312499999994518
9,k=ceil(n/2),5,0.5,0.5,0.50094,0.0009400000000000519
9,k=n,9,0.5,0.001953125,0.00172,0.00023312500000000004
10,k=1,1,0.5,0.9990234375,0.99914,0.0001165625000000281
10,k=ceil(n/2),5,0.5,0.623046875,0.62502,0.00197312500000002
10,k=n,10,0.5,0.0009765625,0.00114,0.00016343749999999995
11,k=1,1,0.5,0.99951171875,0.99956,4.828125000000405e-05
11,k=ceil(n/2),6,0.5,0.5,0.50096,0.0009599999999999609
11,k=n,11,0.5,0.00048828125,0.00036,0.00012828124999999998
12,k=1,1,0.5,0.999755859375,0.99986,0.00010414062499997101
12,k=ceil(n/2),6,0.5,0.61279296875,0.60752,0.005272968750000051
12,k=n,12,0.5,0.000244140625,0.00024,4.140624999999994e-06
13,k=1,1,0.5,0.9998779296875,0.99988,2.0703124999910116e-06
13,k=ceil(n/2),7,0.5,0.5,0.50298,0.0029799999999999827
13,k=n,13,0.5,0.0001220703125,0.0001,2.2070312499999995e-05
14,k=1,1,0.5,0.99993896484375,0.99992,1.8964843749968985e-05
14,k=ceil(n/2),7,0.5,0.604736328125,0.6045,0.0002363281249999627
14,k=n,14,0.5,6.103515625e-05,4e-05,2.1035156249999997e-05
15,k=1,1,0.5,0.999969482421875,0.99992,4.9482421874968985e-05
15,k=ceil(n/2),8,0.5,0.5,0.50126,0.0012600000000000389
15,k=n,15,0.5,3.0517578125e-05,0.0,3.0517578125e-05
16,k=1,1,0.5,0.9999847412109375,0.99998,4.741210937520002e-06
16,k=ceil(n/2),8,0.5,0.5981903076171875,0.5987,0.00050969238281251
16,k=n,16,0.5,1.52587890625e-05,0.0,1.52587890625e-05
17,k=1,1,0.5,0.9999923706054688,1.0,7.62939453125e-06
17,k=ceil(n/2),9,0.5,0.5,0.4984,0.0015999999999999903
17,k=n,17,0.5,7.62939453125e-06,0.0,7.62939453125e-06
18,k=1,1,0.5,0.9999961853027344,0.99998,1.6185302734395002e-05
18,k=ceil(n/2),9,0.5,0.5927352905273438,0.59218,0.0005552905273437103
18,k=n,18,0.5,3.814697265625e-06,0.0,3.814697265625e-06
19,k=1,1,0.5,0.9999980926513672,1.0,1.9073486328125e-06
19,k=ceil(n/2),10,0.5,0.5,0.50346,0.0034600000000000186
19,k=n,19,0.5,1.9073486328125e-06,0.0,1.9073486328125e-06
20,k=1,1,0.5,0.9999990463256836,1.0,9.5367431640625e-07
20,k=ceil(n/2),10,0.5,0.5880985260009766,0.58834,0.0002414739990234116
20,k=n,20,0.5,9.5367431640625e-07,0.0,9.5367431640625e-07
1,k=1,1,0.8,0.8,0.79796,0.0020400000000000418
1,k=ceil(n/2),1,0.8,0.8,0.80106,0.0010599999999999499
1,k=n,1,0.8,0.8,0.8005,0.0004999999999999449
2,k=1,1,0.8,0.9600000000000001,0.9606,0.0005999999999999339
2,k=ceil(n/2),1,0.8,0.9600000000000001,0.9604,0.00039999999999995595
2,k=n,2,0.8,0.6400000000000001,0.6384,0.0016000000000001569
3,k=1,1,0.8,0.9920000000000001,0.99216,0.00015999999999993797
3,k=ceil(n/2),2,0.8,0.8960000000000001,0.8961,9.999999999987796e-05
3,k=n,3,0.8,0.5120000000000001,0.51192,8.000000000008001e-05
4,k=1,1,0.8,0.9984000000000001,0.99814,0.000260000000000038
4,k=ceil(n/2),2,0.8,0.9728,0.97246,0.00034000000000000696
4,k=n,4,0.8,0.4096000000000001,0.40796,0.0016400000000000858
5,k=1,1,0.8,0.99968,0.99966,2.0000000000020002e-05
5,k=ceil(n/2),3,0.8,0.94208,0.9421,2.0000000000020002e-05
5,k=n,5,0.8,0.3276800000000001,0.32968,0.0019999999999998908
6,k=1,1,0.8,0.9999359999999999,0.99996,2.4000000000024002e-05
6,k=ceil(n/2),3,0.8,0.9830399999999999,0.98198,0.0010599999999999499
6,k=n,6,0.8,0.2621440000000001,0.259,0.003144000000000091
7,k=1,1,0.8,0.9999872,1.0,1.2800000000035006e-05
7,k=ceil(n/2),4,0.8,0.9666560000000001,0.9676,0.0009439999999999449
7,k=n,7,0.8,0.20971520000000007,0.20972,4.799999999915983e-06
8,k=1,1,0.8,0.9999974399999999,1.0,2.560000000095819e-06
8,k=ceil(n/2),4,0.8,0.9895936,0.99004,0.00044640000000006896
8,k=n,8,0.8,0.1677721600000001,0.17016,0.002387839999999919
9,k=1,1,0.8,0.999999488,1.0,5.119999999525504e-07
9,k=ceil(n/2),5,0.8,0.9804185599999999,0.9801,0.00031855999999996776
9,k=n,9,0.8,0.13421772800000006,0.13344,0.0007777280000000608
10,k=1,1,0.8,0.9999998976000001,1.0,1.023999999238967e-07
10,k=ceil(n/2),5,0.8,0.9936306176,0.99336,0.00027061760000002266
10,k=n,10,0.8,0.10737418240000006,0.10804,0.0006658175999999377
11,k=1,1,0.8,0.99999997952,1.0,2.048000002918826e-08
11,k=ceil(n/2),6,0.8,0.98834579456,0.98834,5.794560000049742e-06
11,k=n,11,0.8,0.08589934592000005,0.08464,0.0012593459200000434
12,k=1,1,0.8,0.999999995904,1.0,4.095999983633192e-09
12,k=ceil(n/2),6,0.8,0.996096868352,0.99612,2.3131648000052074e-05
12,k=n,12,0.8,0.06871947673600004,0.06742,0.0012994767360000464
13,k=1,1,0.8,0.9999999991807998,1.0,8.192001521578618e-10
13,k=ceil(n/2),7,0.8,0.9929964388351998,0.99306,6.356116480021878e-05
13,k=n,13,0.8,0.054975581388800036,0.05504,6.441861119996228e-05
14,k=1,1,0.8,0.99999999983616,1.0,1.6384005263603285e-10
14,k=ceil(n/2),7,0.8,0.9976027912601599,0.99738,0.0002227912601598936
14,k=n,14,0.8,0.043980465111040035,0.0437,0.0002804651110400319
15,k=1,1,0.8,0.999999999967232,1.0,3.276801052720657e-11
15,k=ceil(n/2),8,0.8,0.995760250290176,0.99584,7.97497098239397e-05
15,k=n,15,0.8,0.03518437208883203,0.03378,0.001404372088832033
16,k=1,1,0.8,0.9999999999934465,1.0,6.5535354920598365e-12
16,k=ceil(n/2),8,0.8,0.998524061745152,0.99846,6.40617451519443e-05
16,k=n,16,0.8,0.028147497671065624,0.02912,0.0009725023289343764
17,k=1,1,0.8,0.9999999999986894,1.0,1.3106182805699973e-12
17,k=ceil(n/2),9,0.8,0.9974185371631615,0.99744,2.146283683845951e-05
17,k=n,17,0.8,0.022517998136852502,0.02248,3.7998136852502445e-05
18,k=1,1,0.8,0.9999999999997381,1.0,2.6190161150907443e-13
18,k=ceil(n/2),9,0.8,0.9990891076426139,0.9989,0.0001891076426139282
18,k=n,18,0.8,0.018014398509482003,0.01802,5.6014905179986585e-06
19,k=1,1,0.8,0.9999999999999476,1.0,5.240252676230739e-14
19,k=ceil(n/2),10,0.8,0.9984208794508329,0.9986,0.00017912054916713327
19,k=n,19,0.8,0.014411518807585602,0.01476,0.0003484811924143981
20,k=1,1,0.8,0.9999999999999895,1.0,1.0547118733938987e-14
20,k=ceil(n/2),10,0.8,0.9994365863023398,0.99948,4.3413697660255046e-05
20,k=n,20,0.8,0.011529215046068483,0.01094,0.0005892150460684829
1,k=1,1,0.9,0.9,0.89996,4.0000000000040004e-05
1,k=ceil(n/2),1,0.9,0.9,0.8996,0.00040000000000006697
1,k=n,1,0.9,0.9,0.89966,0.00034000000000000696
2,k=1,1,0.9,0.99,0.98968,0.00031999999999998696
2,k=ceil(n/2),1,0.9,0.99,0.99006,6.0000000000060005e-05
2,k=n,2,0.9,0.81,0.81274,0.0027399999999999647
3,k=1,1,0.9,0.9990000000000001,0.99908,7.999999999985796e-05
3,k=ceil(n/2),2,0.9,0.9720000000000001,0.97056,0.0014400000000001079
3,k=n,3,0.9,0.7290000000000001,0.73186,0.0028599999999998627
4,k=1,1,0.9,0.9999,0.99996,5.999999999994898e-05
4,k=ceil(n/2),2,0.9,0.9963,0.99632,2.0000000000020002e-05
4,k=n,4,0.9,0.6561,0.65586,0.00024000000000001798
5,k=1,1,0.9,0.9999899999999999,0.99998,9.99999999995449e-06
5,k=ceil(n/2),3,0.9,0.9914399999999999,0.99174,0.000300000000000078
5,k=n,5,0.9,0.5904900000000001,0.5917,0.0012099999999999334
6,k=1,1,0.9,0.999999,1.0,1.0000000000287557e-06
6,k=ceil(n/2),3,0.9,0.99873,0.99866,7.00000000000145e-05
6,k=n,6,0.9,0.531441,0.53352,0.002078999999999942
7,k=1,1,0.9,0.9999998999999999,1.0,1.0000000005838672e-07
7,k=ceil(n/2),4,0.9,0.9972719999999999,0.99744,0.000168000000000057
7,k=n,7,0.9,0.4782969000000001,0.48056,0.002263099999999907
8,k=1,1,0.9,0.99999999,1.0,1.0000000050247593e-08
8,k=ceil(n/2),4,0.9,0.99956835,0.99954,2.835000000001031e-05
8,k=n,8,0.9,0.4304672100000001,0.42746,0.0030072100000000934
9,k=1,1,0.9,0.9999999990000001,1.0,9.99999860695766e-10
9,k=ceil(n/2),5,0.9,0.99910908,0.99916,5.092000000006536e-05
9,k=n,9,0.9,0.3874204890000001,0.38738,4.048900000008793e-05
10,k=1,1,0.9,0.9999999999,1.0,1.000000082740371e-10
10,k=ceil(n/2),5,0.9,0.9998530974,0.99994,8.690260000010497e-05
10,k=n,10,0.9,0.3486784401000001,0.35364,0.004961559899999912
11,k=1,1,0.9,0.99999999999,1.0,1.000000082740371e-11
11,k=ceil(n/2),6,0.9,0.9997042939199999,0.9997,4.293919999898144e-06
11,k=n,11,0.9,0.31381059609000006,0.3128,0.0010105960900000377
12,k=1,1,0.9,0.9999999999989999,1.0,1.000088900582341e-12
12,k=ceil(n/2),6,0.9,0.999949819662,0.99998,3.0180337999952123e-05
12,k=n,12,0.9,0.2824295364810001,0.2817,0.0007295364810001037
13,k=1,1,0.9,0.9999999999999,1.0,1.000310945187266e-13
13,k=ceil(n/2),7,0.9,0.9999007145136,0.99994,3.928548640008689e-05
13,k=n,13,0.9,0.2541865828329001,0.25744,0.0032534171670999257
14,k=1,1,0.9,0.99999999999999,1.0,9.992007221626409e-15
14,k=ceil(n/2),7,0.9,0.99998279026164,1.0,1.720973835994677e-05
14,k=n,14,0.9,0.2287679245496101,0.22788,0.0008879245496100918
15,k=1,1,0.9,0.9999999999999989,1.0,1.1102230246251565e-15
15,k=ceil(n/2),8,0.9,0.999966375112032,0.99996,6.3751120320532095e-06
15,k=n,15,0.9,0.20589113209464907,0.20636,0.00046886790535091705
16,k=1,1,0.9,0.9999999999999999,1.0,1.1102230246251565e-16
16,k=ceil(n/2),8,0.9,0.9999940756769955,1.0,5.924323004502519e-06
16,k=n,16,0.9,0.18530201888518416,0.1867,0.0013979811148158439
17,k=1,1,0.9,1.0,1.0,0.0
17,k=ceil(n/2),9,0.9,0.9999885355640029,1.0,1.1464435997088351e-05
17,k=n,17,0.9,0.16677181699666577,0.16818,0.001408183003334229
18,k=1,1,0.9,1.0,1.0,0.0
18,k=ceil(n/2),9,0.9,0.9999979537560904,1.0,2.0462439096480267e-06
18,k=n,18,0.9,0.15009463529699918,0.1516,0.0015053647030008332
19,k=1,1,0.9,0.9999999999999999,1.0,1.1102230246251565e-16
19,k=ceil(n/2),10,0.9,0.9999960701176728,1.0,3.9298823272249095e-06
19,k=n,19,0.9,0.13508517176729928,0.1359,0.0008148282327007095
20,k=1,1,0.9,1.0000000000000002,1.0,2.220446049250313e-16
20,k=ceil(n/2),10,0.9,0.9999992911393668,0.99998,1.9291139366828247e-05
20,k=n,20,0.9,0.12157665459056935,0.11872,0.0028566545905693436
